species,func_group,RTD
heliopsis_helianthoides,F,-1.534133752
rudbeckia_subtomentosa,F,-2.355131488
rudbeckia_triloba,F,-1.723235476
rudbeckia_fulgida,F,-1.843794407
rudbeckia_hirta,F,-1.79451779
ratibida_pinnata,F,-1.197970024
helianthus_occidentalis,F,-1.084872474
helianthus_mollis,F,-1.226302466
helianthus_strumosus,F,-1.119511779
helianthus_pauciflorus,F,-1.017717578
parthenium_integrifolium,F,0.081377165
echinacea_purpurea,F,-1.484679263
echinacea_pallida,F,-0.938972965
silphium_integrifolium,F,-1.161905697
silphium_laciniatum,F,-0.160920384
silphium_terebinthinaceum,F,-0.635504638
liatris_scariosa,F,-1.448362251
liatris_pycnostachya,F,-1.759865531
liatris_aspera,F,-1.764662861
liatris_spicata,F,-1.716903754
eupatorium_altissimum,F,-0.875992571
brickellia_eupatorioides,F,-0.119162358
helenium_autumnale,F,-1.879529345
coreopsis_palmata,F,-1.137605145
symphyotrichum_laeve,F,-1.233533
symphyotrichum_novae-angliae,F,-1.462775917
symphyotrichum_sericeum,F,-1.328752661
symphyotrichum_ericoides,F,-1.458785874
solidago_nemoralis,F,-1.266298948
solidago_speciosa,F,-0.628422702
oligoneuron_rigidum,F,-0.92765486
solidago_juncea,F,-0.959573434
euthamia_graminifolia,F,-1.275593912
arnoglossum_plantagineum,F,-1.304495781
vernonia_fasciculata,F,-0.852835062
vernonia_missurica,F,-0.817599184
vernonia_gigantea,F,-0.884187378
campanula_rotundifolia,F,-0.869345006
zizia_aptera,F,-0.7257424
eryngium_yuccifolium,F,-0.970808694
pycnanthemum_pilosum,F,-1.516032045
pycnanthemum_tenuifolium,F,-1.306905861
pycnanthemum_virginianum,F,-1.230598681
monarda_fistulosa,F,-1.41912045
blephilia_ciliata,F,-1.531651333
agastache_scrophulariifolia,F,-1.132885275
agastache_nepetoides,F,-1.350917256
teucrium_canadense,F,-1.864240166
physostegia_virginiana,F,-2.167941095
verbena_stricta,F,-0.773647943
penstemon_hirsutus,F,-1.193424566
penstemon_digitalis,F,-1.307652696
veronicastrum_virginicum,F,-0.774419255
asclepias_tuberosa,F,-0.473047088
asclepias_syriaca,F,-0.216642094
asclepias_verticillata,F,-0.771294361
asclepias_sullivantii,F,-0.16583887
phlox_pilosa,F,-1.549301598
polemonium_reptans,F,-1.261945868
desmodium_canadense,N,0.541510419
desmodium_illinoense,N,0.080543367
lespedeza_capitata,N,0.036893478
astragalus_canadensis,N,-0.952786888
dalea_purpurea,N,-0.058032743
dalea_candida,N,0.153513014
baptisia_alba,N,-0.274181918
baptisia_bracteata,N,-0.679241869
senna_marilandica,N,-0.482731745
senna_hebecarpa,N,0.034268007
chamaecrista_fasciculata,N,-1.287015232
desmanthus_illinoensis,N,0.395126279
potentilla_arguta,F,-1.137072075
hypericum_pyramidatum,F,-1.145844692
hypericum_punctatum,F,-1.364379848
viola_pedatifida,F,-1.875159752
euphorbia_corollata,F,-0.119024252
heuchera_richardsonii,F,-0.551641091
anemone_virginiana,F,-1.599400358
anemone_cylindrica,F,-1.470394184
anemone_canadensis,F,-1.754922807
thalictrum_dasycarpum,F,-0.798801828
andropogon_gerardii,G,-0.626200374
schizachyrium_scoparium,G,-0.627141636
sorghastrum_nutans,G,-1.162000815
panicum_virgatum,G,-0.550233913
bouteloua_curtipendula,G,-0.709176486
sporobolus_heterolepis,G,-1.210775457
eragrostis_spectabilis,G,-1.550900974
hierochloe_odorata,G,-1.357913067
koeleria_macrantha,G,-0.963873943
elymus_canadensis,G,-1.120572049
bromus_kalmii,G,-1.406121629
carex_brevior,G,-1.221011238
carex_molesta,G,-1.279899588
carex_normalis,G,-1.121858337
carex_bicknellii,G,-1.242725899
carex_gravida,G,-1.025092189
carex_annectens,G,-0.949096556
tradescantia_ohiensis,F,-1.927204417
allium_cernuum,F,-2.144058487
allium_canadense,F,-2.012594363
