species,cot,func_group,diameter,SRL,RTD,SLA,RDMC,total_length,branching_intensity,total_volume,root_shoot_ratio,above_to_below_scan,above_to_below_total,organ,N_roots,,
agastache_nepetoides,D,F,0.356466372,3883.652573,0.258002581,295.6062058,0.299612061,3204.30705,1.505711539,3.2305,0.487699006,2.408852337,3.978460319,R,2.500653505,,
agastache_scrophulariifolia,D,F,0.329261633,3634.194738,0.321102564,214.235507,0.18471684,2281.42755,1.302213932,1.9615,0.616140564,1.703905568,1.903981173,P,2.915068626,,
allium_canadense,M,F,0.50505,3876.090368,0.13264151,0,0.065143824,21.2663,0.315680454,0.0365,5.133333333,0.024038462,0.012221541,B,NA,,
allium_cernuum,M,F,0.388810812,7806.831354,0.116178306,168.8695101,0.129925618,648.2962,0.388892402,0.7665,0.562869608,1.071470159,0.899960587,B,2.824469328,,
amorpha_canescens,D,SSN,0.28475,1098.152143,1.674198105,276.7718587,0.551089732,728.91005,1.828088957,0.4955,3.478838579,0.28804606,0.250288383,P,2.99893854,,
andropogon_gerardii,M,G,0.234572513,4400.031782,0.533619305,88.54337604,0.285410997,2121.21725,2.694197397,0.8715,0.67313424,1.508414962,1.306865601,R,1.943828225,,
anemone_canadensis,D,F,0.30499223,8549.39348,0.171920586,123.3478438,0.109414381,13202.5018,1.41449611,9.9155,0.204678083,4.50718198,4.320608288,R,3.256508112,,
anemone_cylindrica,D,F,0.335166589,4980.073427,0.228834872,186.943399,0.32012198,1942.7847,0.386580563,1.694,0.693086058,1.447193744,1.35563043,P,3.038112402,,
anemone_virginiana,D,F,0.35070603,5160.386478,0.201017617,193.5626749,0.156789526,2616.37515,0.43054698,2.4975,0.679617617,1.56638243,1.676741279,P,3.209072351,,
arnoglossum_plantagineum,D,F,0.531673326,1902.162072,0.270309304,65.98621422,0.195304974,9567.9943,0.478117798,20.6395,0.883593742,1.435432942,1.279160366,P,1.956411374,,
asclepias_sullivantii,D,F,0.33995,1426.340176,0.846182726,193.8969485,0.327353597,880.89045,0.768488544,0.794,2.199077499,0.522759485,0.424315544,R,2.172755357,,
asclepias_syriaca,D,F,0.353296983,1345.53092,0.804218106,250.1904775,0.325180665,2599.81175,0.634211619,2.5055,1.590124427,0.714449085,0.5446595,R,2.243729406,,
asclepias_tuberosa,D,F,0.286640598,2763.897845,0.622100732,279.0221333,0.247689856,1510.9509,0.822881082,0.987,0.974185494,1.794078177,1.084988325,P,2.74920107,,
asclepias_verticillata,D,F,0.304117369,2935.841846,0.461414148,160.1246799,0.278692578,1577.51675,0.454568636,1.161,1.253200223,0.890602801,0.774743113,R,3.383670807,,
astragalus_canadensis,D,N,0.397786774,2094.075347,0.384664717,140.2590709,0.386606387,1547.42515,1.389008994,1.8825,0.464774273,2.634870948,1.693254138,R,4.189087697,,
baptisia_alba,D,N,0.39745,1080.294154,0.759193773,249.972532,0.338731481,503.7766,1.034165762,0.629,2.328945179,0.466325147,0.534305723,R,1.97632989,,
baptisia_bracteata,D,N,0.362545334,5578.052756,0.506001221,260.2404827,0.395571248,410.55595,1.048019302,0.451,1.641697146,0.55765587,0.626881717,R,2.04771328,,
blephilia_ciliata,D,F,0.231105235,12279.94607,0.215178386,228.5927961,0.164940644,4522.40395,1.839000336,2.117,0.20090573,5.837024458,3.823932982,P,2.685136318,,
bouteloua_curtipendula,M,G,0.160795176,10669.9878,0.491049239,27.39706449,0.493738071,3115.83745,5.556094302,0.5765,0.364625479,3.162643646,3.009098875,R,1.278115,,
brickellia_eupatorioides,D,F,0.311028329,1780.114145,0.886663673,357.0247934,0.243667859,879.95695,1.134640801,0.6745,0.675251962,1.589963288,1.775761781,P,2.983470849,,
bromus_kalmii,M,G,0.192142212,14644.29186,0.244091996,177.5995761,0.199521433,2291.22155,2.117543604,0.6465,0.208006202,4.829289902,4.612627874,P,2.069425583,,
campanula_rotundifolia,D,F,0.2353,7049.50648,0.41822605,297.5760525,0.254430059,470.7732,3.361672643,0.1955,0.156233111,6.583496538,6.030530426,P,2.292184422,,
carex_annectens,M,G,0.218989769,7802.300689,0.386090578,115.0477967,0.26163398,1404.0048,4.199919868,0.3845,0.2850174,3.92132836,4.494550895,P,1.771217465,,
carex_bicknellii,M,G,0.206352197,10437.66828,0.287596462,150.2198816,0.213084688,3093.56195,4.553151631,1.0365,0.635798597,2.40950036,2.279758895,P,1.834870577,,
carex_brevior,M,G,0.226902978,8934.485063,0.293931768,179.2589051,0.211955732,4932.65285,4.342004933,1.9065,0.369593325,2.880463302,2.961930999,P,1.543587685,,
carex_gravida,M,G,0.188440355,10067.48701,0.357763389,142.8532439,0.280403961,3635.53015,4.504250283,1.0805,0.248766147,4.451647606,3.651473706,P,1.794139862,,
carex_molesta,M,G,0.258093602,8304.680365,0.277065221,208.7541168,0.175444256,5167.69975,3.719652992,1.9325,0.210325122,4.880706738,4.496577763,P,1.439821839,,
carex_normalis,M,G,0.282796374,4765.644424,0.324674022,137.7766847,0.244099238,3085.2782,3.875501405,1.994,0.424413269,2.356194007,2.974584809,P,1.457553148,,
ceanothus_americanus,D,SSN,0.372907188,1072.063473,0.858952591,180.469419,0.308436856,2159.1495,1.69377265,2.4715,2.104811271,0.477254924,0.479588409,P,2.319366394,,
chamaecrista_fasciculata,D,N,0.222336697,9380.897197,0.275093632,296.0758182,0.312458164,1663.44375,1.269473801,0.606,0.362127005,4.154148038,3.043311205,A,1.943180515,,
coreopsis_palmata,D,F,0.433133631,2364.685139,0.31958586,167.3629397,0.245596286,983.4745,0.956424565,1.2995,0.68673685,1.706238555,2.138775438,R,2.810805321,,
dalea_candida,D,N,0.27325,1561.463088,1.164922959,110.9994872,0.416211184,589.4315,1.680268157,0.3125,1.17690857,0.889529439,0.387009191,P,2.943756659,,
dalea_purpurea,D,N,0.39405,901.6449232,0.942619048,159.4569289,0.417115715,396.46005,1.760346225,0.495,2.874886821,0.414476654,0.44290257,P,3.806862051,,
desmanthus_illinoensis,D,N,0.48945,366.5383482,1.483571648,101.9596542,0.531918796,470.54495,1.871264974,0.882,3.593797189,0.294848932,0.305668016,P,3.235613245,,
desmodium_canadense,D,N,0.346067412,664.205762,1.717600711,182.1927423,0.507184086,1730.66895,1.773523009,1.816,2.652046148,0.380412437,0.461203527,P,2.591928502,,
desmodium_illinoense,D,N,0.409177769,951.4411855,1.082875845,223.6685008,0.436555737,1360.17915,1.816869529,1.534,1.27077798,0.797145075,0.712504291,P,3.553548722,,
echinacea_pallida,D,F,0.294724805,7108.478684,0.390029228,129.1490984,0.111020115,1670.60965,1.116098611,1.132,0.228745876,6.333120732,2.223455165,P,3.331353535,,
echinacea_purpurea,D,F,0.366698986,4249.387778,0.225575001,181.2911307,0.155753586,2488.68675,0.641003853,2.4805,0.379639019,2.778218586,4.379225969,R,3.78395772,,
elymus_canadensis,M,G,0.2062,9591.207274,0.325093201,110.6294876,0.212038389,1703.5288,2.226680444,0.5775,0.274598228,3.684044363,3.098529055,P,1.933801293,,
eragrostis_spectabilis,M,G,0.233337406,11971.34615,0.211056834,51.01733087,0.278907015,5848.4461,3.090208144,2.5225,0.252882053,3.861027651,3.831158122,R,1.880762935,,
eryngium_yuccifolium,D,F,0.527509016,1251.771979,0.377776605,119.7693782,0.22000609,1404.30475,0.972423934,3.0775,1.106112333,0.914020811,0.940569044,P,2.924043417,,
eupatorium_altissimum,D,F,0.3742,2219.143698,0.415448456,238.9388173,0.234332552,534.4643,0.872831178,0.589,0.46608764,2.329260249,1.505028559,P,2.396581888,,
euphorbia_corollata,D,F,0.76015,260.2272722,0.886786265,232.3665177,0.372923431,210.0425,1.593416458,0.9985,3.815862869,0.59056855,0.249161749,P,1.772906857,,
euthamia_graminifolia,D,F,0.3413,3968.062929,0.278265057,117.9394255,0.24481594,1465.59905,1.443534876,1.3615,0.67667581,0.82763958,0.944540062,R,3.071914911,,
helenium_autumnale,D,F,0.39035,6434.322908,0.151661936,242.4371063,0.113203703,770.71835,0.780448748,0.7865,0.536346256,2.426328302,3.896285613,P,3.30005765,,
helianthus_mollis,D,F,0.340073742,5258.693827,0.292375336,145.12199,0.146219617,2623.02335,1.048019628,2.012,1.028888921,1.017967659,1.51927939,R,4.232700348,,
helianthus_occidentalis,D,F,0.323590984,3816.780581,0.336944876,74.6742006,0.223435391,2540.5656,0.975534455,2.1365,0.696983562,1.86543701,2.08196565,R,2.900312424,,
helianthus_pauciflorus,D,F,0.654004962,942.6378438,0.36041891,96.0107705,0.253669244,901.9262,0.764486619,3.258,1.081484099,1.062263733,1.122929573,R,4.067150116,,
helianthus_strumosus,D,F,0.42315,2465.444174,0.325439131,191.9963918,0.180653211,1143.3636,1.211763169,1.6485,0.43825648,1.687074582,1.718567953,R,3.083354473,,
heliopsis_helianthoides,D,F,0.275677506,7991.688449,0.214642414,313.6206609,0.206370509,1952.62755,0.747271455,1.18,0.301800713,3.242213363,3.021204221,P,3.285480738,,
heuchera_richardsonii,D,F,0.3352,2088.059996,0.575003758,217.8536593,0.165971481,932.9268,3.370771052,0.81,0.362285896,2.882421261,3.197701984,P,2.865032587,,
hierochloe_odorata,M,G,0.1736,18006.03581,0.25619697,58.6244363,0.357628022,3110.28605,2.434580562,0.7595,0.20516766,2.154873087,2.867261497,R,1.407425225,1.666867733,1.147982717
hypericum_punctatum,D,F,0.2243,10004.60751,0.254539103,182.8717686,0.179712725,1965.11635,0.955039934,0.7365,0.317142349,3.451749855,2.853123686,P,2.926955938,,
hypericum_pyramidatum,D,F,0.387786877,2726.005777,0.316955228,243.9639391,0.202143246,3328.28375,1.180815345,4.093,0.920315311,1.091861317,0.988301408,P,2.31776909,,
koeleria_macrantha,M,G,0.20475,8408.577394,0.380412455,61.57963828,0.360650365,927.9371,3.308626556,0.2985,0.291528605,4.188684567,4.088171692,P,1.751989484,,
lespedeza_capitata,D,N,0.387856072,841.0572299,1.036582492,132.6737201,0.504866181,1053.59135,1.443013093,1.33,2.425303486,0.470470151,0.404170401,P,3.432975912,,
liatris_aspera,D,F,0.2689,10613.23607,0.170244513,80.84259531,0.134724472,580.0518,1.49263334,0.3205,0.259806544,0.101985312,0.217427894,B,1.612007737,,
liatris_pycnostachya,D,F,0.29635,8705.01246,0.171067996,75.27378479,0.24321945,779.5592,1.920608503,0.549,0.262951633,0.365753077,0.338639013,B,2.717682362,,
liatris_scariosa,D,F,0.2473,8995.282857,0.233954771,102.4811584,0.285487346,436.03895,1.898267311,0.228,0.457285957,0.128991381,0.366494761,P,1.697220087,,
liatris_spicata,D,F,0.24975,11971.27813,0.178621436,59.27681068,0.16889832,796.1697,1.756396639,0.3935,0.248376983,0.425249812,0.245395543,B,3.148264647,,
