RHIZO 2012,Operator,Analysis Date Time,ImageFileName,ImageAcqDeviceAndSoftwareInfo DateTimeModified,AnalysedRegionArea(cm2),AnalysedRegionWidth(cm),AnalysedRegionHeight(cm),Left Top Right Bottom  NExclusions,DevOrder Criteria,ImgType CalibMeth TPU Units PxSizeH PxSizeV [CalFile],PxClassif,Filters,Fractal PxMin PxMax,SoilVol(m3),Length(cm),LengthTen(cm)/RatioHypLeafToRootLen,ProjArea(cm2),ProjAreaTen(cm2)/RatioHypLeafToRootArea,SurfArea(cm2),SurfAreaTen(cm2),AvgDiam(mm),AvgDiamTen(mm),LenPerVol(cm/m3),LenPerVolTen(cm/m3),RootVolume(cm3),Tips,Forks,Crossings,NumberOfClasses,ClassBoundaries,0<.L.<=0.5000000,0.5000000<.L.<=1.0000000,1.0000000<.L.<=1.5000000,1.5000000<.L.<=2.0000000,2.0000000<.L.<=2.5000000,2.5000000<.L.<=3.0000000,3.0000000<.L.<=3.5000000,3.5000000<.L.<=4.0000000,4.0000000<.L.<=4.5000000,.L.>4.5000000,0<.SA.<=0.5000000,0.5000000<.SA.<=1.0000000,1.0000000<.SA.<=1.5000000,1.5000000<.SA.<=2.0000000,2.0000000<.SA.<=2.5000000,2.5000000<.SA.<=3.0000000,3.0000000<.SA.<=3.5000000,3.5000000<.SA.<=4.0000000,4.0000000<.SA.<=4.5000000,.SA.>4.5000000,0<.PA.<=0.5000000,0.5000000<.PA.<=1.0000000,1.0000000<.PA.<=1.5000000,1.5000000<.PA.<=2.0000000,2.0000000<.PA.<=2.5000000,2.5000000<.PA.<=3.0000000,3.0000000<.PA.<=3.5000000,3.5000000<.PA.<=4.0000000,4.0000000<.PA.<=4.5000000,.PA.>4.5000000,0<.V.<=0.5000000,0.5000000<.V.<=1.0000000,1.0000000<.V.<=1.5000000,1.5000000<.V.<=2.0000000,2.0000000<.V.<=2.5000000,2.5000000<.V.<=3.0000000,3.0000000<.V.<=3.5000000,3.5000000<.V.<=4.0000000,4.0000000<.V.<=4.5000000,.V.>4.5000000,0<.T.<=0.5000000,0.5000000<.T.<=1.0000000,1.0000000<.T.<=1.5000000,1.5000000<.T.<=2.0000000,2.0000000<.T.<=2.5000000,2.5000000<.T.<=3.0000000,3.0000000<.T.<=3.5000000,3.5000000<.T.<=4.0000000,4.0000000<.T.<=4.5000000,.T.>4.5000000
SampleId,COLOR,Name,OwnerGroup,Specifications/NClass,Def Filt/Bg,Length(cm),ProjArea(cm2),SurfArea(cm2),AvgDiam(mm),Volume(cm3),Tips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleId,LINK,Link#,Seedling#,,Length(cm),ProjArea(cm2),SurfArea(cm2),AvgDiam(mm),EE-EI-II-IL-BL,Angle(deg),Magnitude,Altitude,Order,Father,Brother1,Brother2,Baby1,Baby2,Baby3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleId,DEV,Order#,Seedling#,NofLinks,TotalLength(cm),TotalProjArea(cm2),TotSurfArea(cm2),AvgLength(cm),AvgProjArea(cm2),AvgSurfArea(cm2),AvgDiam(mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleId,AXIS,Order#,Seedling#,Axis#,TotalLength(cm),TotalProjArea(cm2),TotSurfArea(cm2),AvgLength(cm),AvgProjArea(cm2),AvgSurfArea(cm2),AvgDiam(mm),,,,,,,,,NofLinks,FirstLink#,SecondLink#,ThirdLink#,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILTER3-1,JJR,9/20/2021 10:38,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,499.6296,17.6022,28.3845,12 12 2784 4482  0,MAG ANG DIAM LEN,Grey Intr cm 0.006350 0.006350 ,GreyThdAutom-161,Smooth Off Area On 0.0100 LWRatio Off,Off,1,486.7368,0,23.5172,0,73.8814,0,0.4832,0,486.7368,0,0.892,112,491,141,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,444.3122,11.6192,0.7469,0.8118,6.0048,15.3024,4.6085,2.0111,1.3198,0,40.049,2.2394,0.2761,0.4878,4.3023,13.3255,4.6266,2.3235,1.6984,0,12.748,0.7128,0.0879,0.1553,1.3695,4.2416,1.4727,0.7396,0.5406,0,0.3042,0.0359,0.0083,0.0234,0.2465,0.9255,0.3703,0.2139,0.1741,0,107,3,0,1,1,0,0,0,0,0
SILTER3-2,JJR,9/20/2021 11:27,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,493.7745,17.5768,28.0924,16 32 5552 8880  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-168,Smooth Off Area On 0.0100 LWRatio Off,Off,1,438.7317,0,19.8971,0,62.5087,0,0.4535,0,438.7317,0,0.709,137,342,64,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,373.8163,38.8745,18.0982,6.707,0.6314,0.0997,0.5046,0,0,0,40.3631,9.317,6.5706,3.457,0.4148,0.0869,0.5014,0,0,0,12.848,2.9657,2.0915,1.1004,0.132,0.0277,0.1596,0,0,0,0.3635,0.1854,0.192,0.1426,0.0217,0.006,0.0397,0,0,0,130,7,0,0,0,0,0,0,0,0
SILTER5-1,JJR,9/20/2021 12:15,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,498.4248,17.6784,28.194,32 48 5600 8928  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-168,Smooth Off Area On 0.0100 LWRatio Off,Off,1,792.3925,0,35.1342,0,110.3773,0,0.4434,0,792.3925,0,1.224,356,1117,219,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,733.82,30.5255,0.9563,4.2845,10.4073,3.7775,3.3035,3.1835,0.8047,1.2946,78.4544,5.746,0.3466,2.4345,7.3182,3.3195,3.3385,3.675,1.0639,2.0937,24.9728,1.829,0.1103,0.7749,2.3295,1.0566,1.0627,1.1698,0.3387,0.6664,0.694,0.0883,0.0101,0.1104,0.4111,0.2326,0.2688,0.3379,0.112,0.27,350,5,0,0,0,0,0,0,0,1
SILTER5-2,JJR,9/20/2021 12:32,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,496.4532,17.5768,28.2448,32 16 5568 8912  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-168,Smooth Off Area On 0.0100 LWRatio Off,Off,1,316.6219,0,17.3967,0,54.6533,0,0.5494,0,316.6219,0,0.751,81,223,12,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,227.354,64.9225,18.7105,5.1757,0.4591,0,0,0,0,0,28.6005,15.0092,6.799,2.7345,0.3013,0,0,0,0,0,9.1038,4.7776,2.1642,0.8704,0.0959,0,0,0,0,0,0.2924,0.2919,0.1989,0.1154,0.0158,0,0,0,0,0,76,5,0,0,0,0,0,0,0,0
SILTER5-3,JJR,9/20/2021 13:40,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,319.8032,14.0208,22.8092,992 624 5408 7808  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-162,Smooth Off Area On 0.0100 LWRatio Off,Off,1,62.2069,0,4.2103,0,13.2272,0,0.6768,0,62.2069,0,0.224,12,14,0,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,12.8329,48.2025,1.0179,0.1536,0,0,0,0,0,0,1.3495,11.3369,0.3699,0.0765,0,0,0,0,0,0,0.4296,3.6087,0.1178,0.0243,0,0,0,0,0,0,0.0119,0.2167,0.0109,0.003,0,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0
SILTER4-1,JJR,9/20/2021 15:03,ScannerOrCamera,EPSON EPSON Flatbed Scanner EPSON Expression 1680 1.8 V3.4 3.04 ,500.7577,17.7292,28.2448,48 16 5632 8912  0,MAG ANG DIAM LEN,Grey Intr cm 0.003175 0.003175 ,GreyThdAutom-159,Smooth Off Area On 0.0100 LWRatio Off,Off,1,519.0598,0,30.2818,0,95.1332,0,0.5834,0,519.0598,0,1.388,164,554,92,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,450.2401,41.9078,4.047,1.703,0.1832,0,0.3913,3.8308,4.2801,12.4767,49.2316,8.3967,1.466,0.8768,0.1297,0,0.4285,4.4822,5.7124,21.7024,15.6709,2.6727,0.4666,0.2791,0.0413,0,0.1364,1.4267,1.8183,6.9081,0.4492,0.1408,0.0426,0.036,0.0073,0,0.0374,0.4175,0.6074,3.0484,161,2,0,0,0,0,0,1,0,0
